,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
2021-07-14,685308.3891392475,112568.84199099906,121613.04943136571
2021-07-15,675228.6365435668,112231.8510167759,121216.31837311023
2021-07-16,668584.4281697999,111847.01234187181,120302.48622089175
2021-07-19,668260.2155106382,111172.78263129141,118393.34442076106
2021-07-20,669963.0496023695,112069.95105517414,120188.49646225458
2021-07-21,677887.2047448215,112174.16863284055,121179.06841506563
2021-07-22,679457.245609151,112308.23771815118,121423.44660191647
2021-07-23,684839.582267742,112828.94268466256,122655.34235361915
2021-07-26,684494.0045415774,112851.72427546661,122947.53189332457
2021-07-27,680449.5661175123,112241.78931901086,122368.1484351092
2021-07-28,686939.9064403035,112526.16276466983,122345.3559134048
2021-07-29,691785.7324870669,113124.46124476135,122859.95919677004
2021-07-30,690363.5877215667,112706.36055440936,122195.77235374981
2021-08-02,690748.8324712847,112496.74548643269,121970.58929834035
2021-08-03,693737.3369592951,112789.55221373003,122971.16606859997
2021-08-04,699132.4980539099,113129.15414499945,122401.51592668121
2021-08-05,699123.1868455277,113046.38139510952,123136.59172046997
2021-08-06,692063.7464241153,112213.8255658133,123342.87829570525
2021-08-09,690979.1093172884,111896.23159661703,123226.94730383178
2021-08-10,686876.0919106583,111392.86029615556,123349.27214783317
2021-08-11,687092.2471470047,111652.33213785294,123506.63421549092
2021-08-12,687889.1747886357,111889.52255646438,124018.73968825841
2021-08-13,692868.014017052,112352.94024410934,124218.0758340043
2021-08-16,692676.41490161,112462.32791093271,124543.63286528175
2021-08-17,686335.6745317024,112046.24145234341,123664.2677843006
2021-08-18,682154.4802329798,111503.37161522884,122335.06601974674
2021-08-19,686803.4213613468,111534.09876425113,122488.80354702623
2021-08-20,691927.5915676029,112071.95316736767,123486.05442817473
2021-08-23,705512.724271996,113229.76033564656,124538.62366902865
2021-08-24,706104.7955027354,113599.61760555043,124724.90060936678
2021-08-25,709716.6186792731,113345.54307915455,125001.80463421863
2021-08-26,709361.8500322207,112984.00798644879,124273.67926991923
2021-08-27,717737.9589197263,113806.95041474226,125368.23616391892
2021-08-30,719465.009305163,114270.83886851362,125908.14335464391
2021-08-31,718905.2862275774,114520.74405055329,125738.27865893986
2021-09-01,721132.329702331,114640.43773269057,125777.46985022072
2021-09-02,722137.9482663417,114727.10523049856,126135.00971719535
2021-09-03,726891.763354326,115022.92510880614,126092.7505628977
2021-09-07,725272.7973366253,114700.73640839572,125664.59324630648
2021-09-08,719890.0211376412,114133.47870911559,125498.89609328452
2021-09-09,719136.8034045397,114040.48657525075,124920.89729094399
2021-09-10,720057.7590195339,113694.93285179193,123956.18582285412
2021-09-13,721359.4379525043,113649.70572068544,124238.37054511099
2021-09-14,723560.4179384108,113399.99175209228,123524.41754094226
2021-09-15,725010.5033495023,113890.86577212134,124571.16308208733
2021-09-16,719065.2268846018,113143.65516142832,124377.93571225982
2021-09-17,711297.8226318798,112807.94981791063,123244.74420434074
2021-09-20,702420.9602136287,111715.74894526291,121152.37985183111
2021-09-21,706637.4729928585,112104.59409461683,121053.96068425704
2021-09-22,712314.845424701,112598.6821220718,122206.34732361749
2021-09-23,715269.0832335253,112737.11347352117,123689.28661545085
2021-09-24,712200.5722587076,112668.37596428726,123869.99778217444
2021-09-27,706486.6352650455,112545.80776592455,123526.08727302663
2021-09-28,687421.2215588964,110747.44158599965,121010.58837523648
2021-09-29,682122.0700164275,110687.71719890271,121200.47628089525
2021-09-30,682464.5398714113,110564.77066213367,119757.0132565523
2021-10-01,685463.3171699237,111203.91350091304,121133.19829544738
2021-10-04,673699.3433396356,110104.14659846967,119560.17492140415
2021-10-05,681069.3483442487,110688.11139171853,120818.48773518947
2021-10-06,683894.451786966,111027.95525775953,121314.1809633229
2021-10-07,689544.7265965543,111585.19075176076,122320.8800845585
2021-10-08,687420.3050637988,111517.80233963477,122086.79179136577
2021-10-11,683843.6401277853,110940.59099586357,121248.57270995938
2021-10-12,682755.5815797304,111039.99331909302,120955.54151668296
2021-10-13,689215.2710469177,111698.64998856671,121321.13139281227
2021-10-14,702127.9278216738,112771.47675836695,123391.24622592135
2021-10-15,702987.7887192416,112588.7135502412,124311.77088153485
2021-10-18,705301.0111056755,112932.08067402957,124731.29446149473
2021-10-19,709446.3602517624,113491.88847113911,125653.47527413501
2021-10-20,702650.7366937621,113440.90687537185,126113.87335251772
2021-10-21,708343.872158834,113782.30565808185,126491.69435554139
2021-10-22,708674.2674289306,113838.0793548575,126356.02522992273
2021-10-25,708499.6209214176,114252.40878147236,126955.98847545429
2021-10-26,715730.300591277,113954.76787237194,127187.0223806878
2021-10-27,721178.9576472727,114116.91210236475,126544.52847970666
2021-10-28,726648.9613641433,114976.2484722237,127788.3702820942
2021-10-29,726568.0403482411,114574.79321734709,128037.47258898859
2021-11-01,726454.4584620327,115317.33916687923,128267.9499168607
2021-11-02,730934.2775515645,115444.07927937522,128740.02254477635
2021-11-03,732268.8517121817,115544.9421577376,129571.84777405483
2021-11-04,755746.5853161723,116527.63384521699,130113.70977307367
2021-11-05,756042.3677787177,116729.01876039439,130599.39818375855
2021-11-08,764964.2154602522,117107.40423174642,130715.34275068961
