,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1993-05-31,17.750230817434417,17.733225048824863,20.584823279176753
1993-06-30,17.998688376740347,17.98144457112687,20.64508037859729
1993-07-31,17.951347422328464,17.93414897214302,20.561939687241335
1993-08-31,18.571141152105106,18.55334890295093,21.342223385501928
1993-09-30,18.546970561735492,18.529201469433257,21.178616526964426
1993-10-31,18.772729839931763,18.75474445691838,21.61681019484069
1993-11-30,18.53239557401892,18.514640445415022,21.410487763559455
1993-12-31,18.326038112578505,18.308480686600344,21.669439430288207
1994-01-31,18.845945006472263,18.827845372223756,22.406246398804022
1994-02-28,18.272056117989187,18.25450764628399,21.79796090776627
1994-03-31,17.48993313071517,17.473135809456505,20.8475877140391
1994-04-30,17.526546819374605,17.509714334351372,21.1149260740579
1994-05-31,17.70935857366325,17.692350516341154,21.461592357288158
1994-06-30,17.40042088650967,17.3837095327565,20.935684072899488
1994-07-31,17.902907740156884,17.885713798331714,21.622911089405424
1994-08-31,18.370328094635504,18.352685242583036,22.509596157920985
1994-09-30,17.90576469266933,17.888568007028677,21.959279639883537
1994-10-31,18.119304828272732,18.101903058814287,22.452390669627547
1994-11-30,17.656104764099897,17.63914785170447,21.63473346387638
1994-12-31,17.88080491641224,17.863632202125693,21.95584861409792
1995-01-31,18.341316722536238,18.323279045126046,22.525233628231362
1995-02-28,19.02480759485901,19.006097741723686,23.402766191049633
1995-03-31,19.4069666428825,19.38788095731748,24.093426561041557
1995-04-30,19.908162392383932,19.888583808332633,24.802773684776035
1995-05-31,20.901150232067394,20.880595099025896,25.794335481822298
1995-06-30,21.271587842654483,21.250668404573084,26.393468467168216
1995-07-31,21.612598082332692,21.591343279414083,27.2687129035608
1995-08-31,21.782456575878754,21.76103472646298,27.337359023971757
1995-09-30,22.438448440972614,22.41638145959466,28.491003037847605
1995-10-31,22.58567118491564,22.563459418056752,28.38917792044401
1995-11-30,23.403197967927028,23.380182208388156,29.635112803672733
1995-12-31,23.849526055451765,23.826071356757993,30.20602245952499
1996-01-31,24.412131300703063,24.38766302179763,31.234196607049878
1996-02-29,24.21345130550585,24.189182163557184,31.523657401992143
1996-03-31,24.197383576780254,24.1731305395159,31.82722637013069
1996-04-30,24.27142624962788,24.24709899939343,32.29631090857935
1996-05-31,24.594101329988753,24.56945066252519,33.129223842292916
1996-06-30,24.82845964719323,24.803574082391187,33.255838935698726
1996-07-31,24.133620619440794,24.109431491787795,31.786419509159575
1996-08-31,24.390530063744876,24.366083435758984,32.456868483690116
1996-09-30,25.48365581851552,25.458113550598924,34.28401075552869
1996-10-31,26.238755920031636,26.21245681529249,35.22942828174597
1996-11-30,27.76072533048856,27.73290075582785,37.89215335607177
1996-12-31,27.18861987106829,27.16136871770259,37.14161762901275
1997-01-31,28.197003654003858,28.167413382894182,39.46187093060079
1997-02-28,28.330604199933866,28.30087372682177,39.77116137864555
1997-03-31,27.395508027097275,27.36675885503431,38.136992194203515
1997-04-30,28.61755754323591,28.587525937871323,40.41376876604132
1997-05-31,29.806952175472265,29.77567240522972,42.874368247273296
1997-06-30,30.78726761098961,30.754959086065675,44.79532835787848
1997-07-31,32.78057770945353,32.74617738119677,48.35961481401827
1997-08-31,31.409013851220827,31.37605285839515,45.650361398815136
1997-09-30,32.723486916333314,32.68914649983409,48.15024309930486
1997-10-31,32.26763119877959,32.23376916269393,46.54238620488349
1997-11-30,33.24704005221354,33.212150212824525,48.69674452150288
1997-12-31,33.77560451071955,33.740159989499155,49.533086153301696
1998-01-31,34.30628823435865,34.26877464617454,50.081114544918904
1998-02-28,35.68855400755977,35.649528925371335,53.69307224129596
1998-03-31,36.816101823446516,36.77584377883049,56.442748447421856
1998-04-30,37.11952385251659,37.078934018901215,57.010608819841934
1998-05-31,36.88591352506336,36.845579142039426,56.03048532721282
1998-06-30,37.979706062053545,37.93817562766693,58.3065030697336
1998-07-31,37.74528746726677,37.70401336730396,57.68563171951803
1998-08-31,34.94962945705907,34.91141238158641,49.34545513115831
1998-09-30,36.980048168901874,36.93961085057237,52.50663097278091
1998-10-31,38.53578284001614,38.49364434115154,56.77759235618115
1998-11-30,39.846881601079396,39.80330942863708,60.219074159353816
1998-12-31,41.32469157416833,41.27950343108044,63.6891587066732
1999-01-31,42.49183525698031,42.444074433957915,66.35226319565206
1999-02-28,40.95116962856056,40.905140513711515,64.29019807608591
1999-03-31,42.056843923121924,42.00957203036077,66.86215459507184
1999-04-30,43.10532493202876,43.056874546608825,69.45165729613531
1999-05-31,42.13443657121201,42.087077464314056,67.81138488943361
1999-06-30,43.51482599201636,43.46591532740315,71.57474532752923
