,해자+과열회피,기존 해자기업 고정,NASDAQ 40%,S&P500 100%
2019-10-07,292173.3851284243,390793.08895582834,81532.16214466542,81703.41180225657
2019-10-08,289981.9521390965,387684.9516340761,81038.67793180846,80432.03978306348
2019-10-09,291882.3072005237,390645.4420570487,81408.33613828791,81164.33269004498
2019-10-10,292632.953013087,391805.6967195064,81402.9643595198,81685.0583243862
2019-10-11,294757.2302149992,393764.06479332136,81599.35140438689,82578.60934055563
2019-10-14,295066.23393471696,395637.8726871726,81758.71832329428,82464.063004557
2019-10-15,297550.5914019692,400221.2795947013,82144.46622258279,83285.04855034474
2019-10-16,296720.64059064677,396539.1639375231,81994.18569005669,83118.5165312806
2019-10-17,297013.68957367266,396937.2976571112,82263.15239950403,83348.15899311051
2019-10-18,295256.24949869676,395277.2376051748,81929.07592877306,83021.48880711016
2019-10-21,298026.1041648467,398661.7475228656,82276.79105879128,83591.98060259988
2019-10-22,295608.196809243,397508.5295369771,81918.53335453935,83293.66871191846
2019-10-23,297243.59672354045,398649.314891983,82139.41914857214,83530.81818059918
2019-10-24,297862.5681008643,401540.4387793251,82460.60651806163,83691.23463621612
2019-10-25,300913.85734450596,404785.7917888741,82993.21990581196,84032.08396987594
2019-10-28,301043.36580023996,405194.9028302721,82999.80743700996,84501.09542230358
2019-10-29,299192.40490867116,402718.8304518687,82693.68506766265,84430.75626136771
2019-10-30,299348.0926018324,403777.63441160414,82901.72775385209,84705.44076430255
2019-10-31,301353.14241999626,403648.93899517634,83169.57469943436,84449.3880279188
2019-11-01,303261.4923346752,406528.5921586021,83540.18959785099,85265.36437745344
2019-11-04,305445.44526919286,411094.24014785327,83755.81613909453,85581.19487996305
2019-11-05,304104.4352560268,409148.89474669774,83418.3308022129,85479.72132442977
2019-11-06,303117.84731306497,407883.1435483588,83266.69239619878,85539.77059170755
2019-11-07,303562.3541614294,408208.6327113036,83340.45140679182,85773.30230753883
2019-11-08,302781.5985872095,405762.7452664672,83179.36808513329,85992.93995192017
2019-11-11,302620.1921375397,404793.7956129328,83042.87766756564,85824.18162341023
2019-11-12,303428.2840948199,404369.4510878496,83026.08325225486,85958.46609315406
2019-11-13,303820.2211267451,406084.5043959312,83192.29250673155,86019.62851515473
2019-11-14,303896.8496185121,406654.7250337506,83243.00543967076,86091.63062064617
2019-11-15,303929.26291490835,407945.1595674315,83514.90786584493,86754.14773158204
2019-11-18,305940.9884046701,409331.4663001804,83569.64874377541,86797.79832928334
2019-11-19,305479.1979198899,408056.1165543417,83673.46199749208,86746.36243605049
2019-11-20,305412.6139743407,407933.4032886221,83539.46728906994,86420.52711609231
2019-11-21,304853.49539162655,406422.85242675367,83373.63464588857,86283.74483575074
2019-11-22,305048.49431651644,405853.43680131936,83389.84520440566,86471.4064319637
2019-11-25,307565.07444704,410181.8921783014,83776.92322408338,87120.5724737535
2019-11-26,306090.7754906615,409068.4045811203,83781.44762186584,87311.85182281591
2019-11-27,307490.87305434304,409600.8213609561,84024.43606517417,87676.3285442223
2019-11-29,307142.0159858184,408521.93028022506,83952.53789657466,87324.63952707175
