rcept_no,status,candidate_rows,documents_in_zip,error,updated_at_utc
20010502000092,ERROR,0,0,"RuntimeError('Not a zip for 20010502000092: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:46.750087+00:00
20010430000434,ERROR,0,0,"RuntimeError('Not a zip for 20010430000434: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:47.696279+00:00
20010430000421,ERROR,0,0,"RuntimeError('Not a zip for 20010430000421: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:52.767755+00:00
20010502000163,ERROR,0,0,"RuntimeError('Not a zip for 20010502000163: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:53.312057+00:00
20010502000212,ERROR,0,0,"RuntimeError('Not a zip for 20010502000212: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:54.884898+00:00
20010502000161,ERROR,0,0,"RuntimeError('Not a zip for 20010502000161: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:55.577982+00:00
20010502000016,ERROR,0,0,"RuntimeError('Not a zip for 20010502000016: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:55.836905+00:00
20010502000005,ERROR,0,0,"RuntimeError('Not a zip for 20010502000005: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:56.764399+00:00
20010504000104,NO_CANDIDATES,0,1,,2026-09-02T18:58:57.022608+00:00
20010510000035,NO_CANDIDATES,0,1,,2026-09-02T18:58:57.730171+00:00
20010507000155,NO_CANDIDATES,0,1,,2026-09-02T18:58:58.220872+00:00
20010510000430,NO_CANDIDATES,0,1,,2026-09-02T18:58:59.063448+00:00
20010510000301,NO_CANDIDATES,0,1,,2026-09-02T18:59:00.137558+00:00
20010510000251,NO_CANDIDATES,0,1,,2026-09-02T18:59:00.193500+00:00
20010510000277,NO_CANDIDATES,0,1,,2026-09-02T18:59:00.349471+00:00
20010511000107,NO_CANDIDATES,0,1,,2026-09-02T18:59:01.208373+00:00
20010502000042,ERROR,0,0,"RuntimeError('Not a zip for 20010502000042: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:59:01.844385+00:00
20010511000251,NO_CANDIDATES,0,1,,2026-09-02T18:59:02.169827+00:00
20010510000271,NO_CANDIDATES,0,1,,2026-09-02T18:59:02.455114+00:00
20010504000022,ERROR,0,0,"RuntimeError('Not a zip for 20010504000022: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:59:02.455155+00:00
20010510000011,NO_CANDIDATES,0,1,,2026-09-02T18:59:02.712000+00:00
20010512000049,NO_CANDIDATES,0,1,,2026-09-02T18:59:03.221179+00:00
20010511000014,NO_CANDIDATES,0,1,,2026-09-02T18:59:03.357269+00:00
20010512000003,NO_CANDIDATES,0,1,,2026-09-02T18:59:03.959493+00:00
20010512000093,NO_CANDIDATES,0,1,,2026-09-02T18:59:04.566130+00:00
20010507000085,ERROR,0,0,"RuntimeError('Not a zip for 20010507000085: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:59:04.672126+00:00
20010512000013,NO_CANDIDATES,0,1,,2026-09-02T18:59:04.872379+00:00
20010514000195,NO_CANDIDATES,0,1,,2026-09-02T18:59:05.251856+00:00
20010514000190,NO_CANDIDATES,0,1,,2026-09-02T18:59:06.766521+00:00
20010514000441,NO_CANDIDATES,0,1,,2026-09-02T18:59:07.350421+00:00
