corp_code,stock_code,status,reports_found,error,updated_at_utc
00345657,052350,OK,42,,2026-09-04T18:27:01.018799+00:00
00348052,053250,OK,15,,2026-09-04T18:27:01.018799+00:00
00304429,045240,OK,7,,2026-09-04T18:27:01.018799+00:00
00272412,045050,OK,49,,2026-09-04T18:27:01.018799+00:00
00216762,045100,OK,60,,2026-09-04T18:27:01.018799+00:00
00216027,053030,OK,55,,2026-09-04T18:27:01.018799+00:00
00262044,053070,OK,35,,2026-09-04T18:27:01.018799+00:00
00186717,053620,OK,58,,2026-09-04T18:27:01.018799+00:00
00191108,015390,OK,42,,2026-09-04T18:27:01.018799+00:00
00142883,017370,OK,58,,2026-09-04T18:27:01.018799+00:00
00349468,053040,OK,43,,2026-09-04T18:27:01.018799+00:00
00351630,053450,OK,58,,2026-09-04T18:27:01.018799+00:00
00300256,037060,OK,25,,2026-09-04T18:27:01.018799+00:00
00350048,052420,OK,58,,2026-09-04T18:27:01.018799+00:00
00348140,045400,OK,33,,2026-09-04T18:27:01.018799+00:00
00133663,053060,OK,58,,2026-09-04T18:27:01.018799+00:00
00325112,053610,OK,56,,2026-09-04T18:27:01.018799+00:00
00105466,021320,OK,60,,2026-09-04T18:27:01.018799+00:00
00208301,053440,OK,54,,2026-09-04T18:27:01.018799+00:00
00355548,053590,OK,58,,2026-09-04T18:27:01.018799+00:00
00348034,052790,OK,58,,2026-09-04T18:27:01.018799+00:00
00386557,056010,OK,42,,2026-09-05T17:22:29.067996+00:00
00369213,039980,OK,54,,2026-09-05T17:22:29.067996+00:00
00313649,048410,OK,54,,2026-09-05T17:22:29.067996+00:00
00423690,068290,OK,53,,2026-09-05T17:22:29.067996+00:00
00210537,065410,OK,31,,2026-09-05T17:22:29.067996+00:00
00355089,045340,OK,54,,2026-09-05T17:22:29.067996+00:00
00389387,065160,OK,54,,2026-09-05T17:22:29.067996+00:00
00422895,067830,OK,54,,2026-09-05T17:22:29.067996+00:00
00297165,042100,OK,28,,2026-09-05T17:22:29.067996+00:00
00220686,058610,OK,54,,2026-09-05T17:22:29.067996+00:00
00307037,065310,OK,51,,2026-09-05T17:22:29.067996+00:00
00351047,053810,OK,54,,2026-09-05T17:22:29.067996+00:00
00330017,047420,OK,23,,2026-09-05T17:22:29.067996+00:00
00155258,058430,OK,54,,2026-09-05T17:22:29.067996+00:00
00367376,064060,OK,31,,2026-09-05T17:22:29.067996+00:00
00371519,066060,OK,44,,2026-09-05T17:22:29.067996+00:00
00224567,066300,OK,39,,2026-09-05T17:22:29.067996+00:00
00346911,052770,OK,54,,2026-09-05T17:22:29.067996+00:00
00226228,066110,OK,54,,2026-09-05T17:22:29.067996+00:00
00297448,041590,OK,53,,2026-09-05T17:22:29.067996+00:00
00266961,035420,OK,53,,2026-09-05T17:22:29.067996+00:00
00364926,065270,OK,53,,2026-09-05T17:22:29.067996+00:00
00334767,046720,OK,41,,2026-09-05T17:22:29.067996+00:00
00426086,069260,OK,53,,2026-09-05T17:22:29.067996+00:00
00263140,046400,OK,53,,2026-09-05T17:22:29.067996+00:00
