Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2023-04-05,-0.12026598467740879,-0.12033205849973727,-0.12961108567714164
2023-04-06,-0.11809140152967534,-0.11815763867752949,-0.12621582615413063
2023-04-07,-0.11809140152967534,-0.11815763867752949,-0.12621582615413063
2023-04-10,-0.12098414398053436,-0.12105016386436629,-0.12531900998392864
2023-04-11,-0.12097979329346198,-0.12104581350405896,-0.12508402771690874
2023-04-12,-0.12214678917799315,-0.12221272173950837,-0.12865017726190464
2023-04-13,-0.1162357545548367,-0.11630213107400811,-0.11707629916983564
2023-04-14,-0.1192533672245053,-0.11931951710107813,-0.11923316616165736
2023-04-17,-0.11951487252034287,-0.1195810027561447,-0.11607254943402945
2023-04-18,-0.11860761704698275,-0.11867381542364974,-0.11549619448900361
2023-04-19,-0.11942821272008397,-0.11949434946460791,-0.11564556200921305
2023-04-20,-0.12039084384800658,-0.1204569082925886,-0.12047169448150152
2023-04-21,-0.12080779258530283,-0.12087382571428695,-0.11978813439356217
2023-04-24,-0.1185802030404276,-0.11864640347606725,-0.11886993151023928
2023-04-25,-0.12370447053804445,-0.12377028610742424,-0.13285697767994342
2023-04-26,-0.12729901667739163,-0.1273645622726668,-0.13652972131890706
2023-04-27,-0.11907503184255341,-0.1191411951132888,-0.1193396244669701
2023-04-28,-0.11192076803910334,-0.11198746864219966,-0.1118231113784034
2023-05-01,-0.11654582154316118,-0.11661217477425845,-0.11272006333726003
2023-05-02,-0.11816891049648881,-0.11823514182290884,-0.12269231424672167
2023-05-03,-0.1195772578781712,-0.1196433834284214,-0.12871413371828488
2023-05-04,-0.12341014733963751,-0.12347598501462898,-0.1348855922873673
2023-05-05,-0.11552461737065989,-0.11559104730092062,-0.11886993151023928
2023-05-08,-0.11750580871813598,-0.11757208984786971,-0.11863508503187403
2023-05-09,-0.12028066745853261,-0.12034674017808755,-0.12250017330027063
2023-05-10,-0.11520349676736774,-0.11526995081590208,-0.11840023855350867
2023-05-11,-0.11485235252845227,-0.11491883295023309,-0.11993763770242616
2023-05-12,-0.11764509353417807,-0.11771136420270412,-0.12109075495844146
2023-05-15,-0.11656223715291714,-0.11662858915109386,-0.11805845850953889
2023-05-16,-0.12127055411635879,-0.12133655248890185,-0.12395216138535925
2023-05-17,-0.11590039918038686,-0.11596680088695688,-0.11331794078406132
2023-05-18,-0.11281631720094787,-0.11288295054240005,-0.104776359140895
2023-05-19,-0.11489907332056115,-0.11496555023330257,-0.10607884391711964
2023-05-22,-0.11530472565059757,-0.11537117209617564,-0.10571594873733858
2023-05-23,-0.12086742551011864,-0.12093345416027701,-0.1157524276804901
2023-05-24,-0.12564446131466456,-0.12571013117795127,-0.12215852904495561
2023-05-25,-0.12313326858940832,-0.1231991270598185,-0.11455640120957822
2023-05-26,-0.11551405746182608,-0.11558048818520539,-0.10308945668311342
2023-05-29,-0.11551405746182608,-0.11558048818520539,-0.10308945668311342
2023-05-30,-0.11265893913132685,-0.11272558429290913,-0.10274774453347113
2023-05-31,-0.11440433681294981,-0.11447085088366338,-0.10772324452596893
2023-06-01,-0.10828536484879547,-0.10835233849462977,-0.09924568723351046
2023-06-02,-0.1030652571860351,-0.10313262289635738,-0.0862196173733708
2023-06-05,-0.10423770450287795,-0.10430498215467987,-0.08797074786484216
2023-06-06,-0.10281729966266939,-0.10288468399623574,-0.08598483878933272
