Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2018-11-28,1204.3,1205.62,1193.79,1197.4,158923547,-0.003,1007261601734,118444536855315
2018-11-29,1218.96,1221.1,1183.16,1184.65,156794150,-0.0106,1250165792614,117232525708662
2018-11-30,1186.71,1194.6,1179.09,1186.63,82682191,0.0017,1205063598184,117427374145447
2018-12-03,1205.01,1223.06,1200.29,1222.07,71793667,0.0299,1196503686804,120515093949857
2018-12-04,1218.8,1224.24,1205.8,1214.85,98373370,-0.0059,1134662915685,119784763169908
2018-12-05,1188.08,1203.52,1187.7,1200.31,52670070,-0.012,1015339600374,118212675622314
2018-12-06,1193.39,1195.41,1156.04,1157.83,65524508,-0.0354,1080508657903,114162525729898
2018-12-07,1172.55,1181.72,1161.91,1176.13,42527286,0.0158,912909271439,115881376590169
2018-12-10,1154.82,1171.33,1146.46,1151.03,47601312,-0.0213,990952348491,113250848689833
2018-12-11,1155.21,1156.62,1130.02,1130.87,75611076,-0.0175,1544217896556,111456242229688
2018-12-12,1139.41,1168.16,1139.34,1165.97,51559517,0.031,989050148610,114785900509980
2018-12-13,1168.13,1169.43,1152.79,1169.43,66307415,0.003,1361679614803,115080329824165
2018-12-14,1163.98,1163.98,1127.66,1131.89,93613597,-0.0321,1796181763618,114953874835626
2018-12-17,1132.26,1133.24,1104.14,1125.88,85889920,-0.0053,1833166478560,114545313140451
2018-12-18,1108.67,1135.54,1107.65,1123.07,72977915,-0.0025,1509098616342,114237550575096
2018-12-19,1131.92,1159.25,1124.84,1154.45,57945835,0.0279,1305872560822,117309002921793
2018-12-20,1142.84,1170.79,1138.95,1149.36,57935257,-0.0044,1275504384976,116798114476695
2018-12-21,1147.44,1164.69,1146.91,1162.0,50888130,0.011,1168118040592,118251712203398
2018-12-24,1156.93,1164.97,1151.21,1156.8,54850939,-0.0045,1268889996545,117897942238278
2018-12-26,1136.45,1168.13,1136.22,1166.62,70003867,0.0085,1791521517882,118635266455334
2018-12-27,1195.61,1195.61,1158.18,1160.96,53559239,-0.0049,1582961343273,117272550450255
2018-12-28,1165.12,1170.29,1154.14,1166.25,54780556,0.0046,1190002027097,117622143281142
2019-01-02,1175.91,1179.65,1141.69,1144.41,55580253,-0.0187,1264746379165,115217068290419
