Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
012700,리드코프,KOSDAQ,142280206300.0,631993590.0,117824.0,5380.0,CFS,33470252170.0,300468059736.0,9435500426.0,51925266280.0,0.2652653006730986,87.0,0.23524180235884293,433.0,1.4598029516632771,67.0,8.447220243762045,86.0,168.25,12,2020-04-29,0.05
042670,두산인프라코어,KOSPI,894052693305.0,8285748575.0,1929462.0,4295.0,CFS,102979090904.0,1946563536612.0,70371125592.0,406652819549.0,0.31484106527038164,63.0,0.11518235074414052,495.0,1.819368467179476,40.0,8.708943225331543,80.0,169.5,13,2020-04-29,0.05
014940,오리엔탈정공,KOSDAQ,32129431005.0,1244791829.0,1717133.0,705.0,CFS,31416311602.0,39494604570.0,3525608293.0,5295231049.0,0.4389257055254222,39.0,0.9778047920335401,211.0,0.659237450943461,209.0,4.916937939405628,222.0,170.25,14,2020-04-29,0.05
002690,동일제강,KOSPI,28350000000.0,78171950.0,41518.0,1890.0,OFS,130549353821.0,31468114974.0,755345248.0,6252238285.0,0.10657428543209876,302.0,4.604915478694886,6.0,0.8821500225749559,133.0,4.439945675343916,255.0,174.0,15,2020-04-29,0.05
119650,KC코트렐,KOSPI,57330000000.0,565648225.0,127015.0,4410.0,CFS,76228698374.0,134192384519.0,970731661.0,50701802632.0,0.06772940247688819,475.0,1.3296476255712542,145.0,3.5375407383219954,11.0,9.36280373410082,72.0,175.75,16,2020-04-29,0.05
002870,신풍제지,KOSPI,47718625500.0,255072025.0,187313.0,1365.0,CFS,68897850903.0,40816181658.0,10386430963.0,6331491289.0,0.8706395755678252,8.0,1.4438356130563736,131.0,0.5307354285801883,276.0,3.4214046385724166,338.0,188.25,17,2020-04-29,0.05
003490,대한항공,KOSPI,1877923753200.0,23748198800.0,1195736.0,19800.0,CFS,650456951465.0,3040608354474.0,86713882181.0,530183600509.0,0.18470160363697136,147.0,0.34637026682079886,387.0,1.1292973947543121,94.0,6.47653207281238,146.0,193.5,18,2020-04-29,0.05
003480,한진중공업홀딩스,KOSPI,92133013440.0,433212835.0,138843.0,3120.0,CFS,360475000000.0,272489000000.0,703000000.0,41706000000.0,0.030521090052386762,673.0,3.9125497640946367,11.0,1.8106864604905297,41.0,11.830243680348246,52.0,194.25,19,2020-04-29,0.05
007340,디티알오토모티브,KOSPI,252848326500.0,306703300.0,12227.0,25300.0,CFS,626101164680.0,211329605564.0,13857222912.0,30122752997.0,0.2192179494136379,110.0,2.476192638277161,58.0,0.4765347418188271,300.0,3.3431837732807774,350.0,204.5,20,2020-04-29,0.05
004960,한신공영,KOSPI,153311801500.0,464447800.0,34916.0,13250.0,CFS,552019287715.0,432615901506.0,21318548673.0,55623525376.0,0.5562141587123676,35.0,3.6006314081111364,15.0,1.4512522801710082,35.0,11.287217220678214,30.0,28.75,1,2020-10-30,0.05
037400,우리조명,KOSDAQ,43740472230.0,516917715.0,287342.0,1755.0,CFS,80997348657.0,352815343925.0,8719383969.0,19075470091.0,0.797374470321305,18.0,1.8517712436000373,87.0,1.7444228759758866,22.0,32.26442934313057,1.0,32.0,2,2020-10-30,0.05
009200,무림페이퍼,KOSPI,97365785400.0,98922185.0,41543.0,2340.0,CFS,142227716433.0,235997784929.0,14591577607.0,44123184875.0,0.5994540093136249,31.0,1.4607566287140534,121.0,1.812677202519644,19.0,9.695306578567383,42.0,53.25,3,2020-10-30,0.05
011560,세보엠이씨,KOSDAQ,55809000000.0,108914900.0,20150.0,5300.0,CFS,151734707737.0,173671588622.0,2646495587.0,18302599578.0,0.18968235137701805,202.0,2.7188214756938844,36.0,1.3118027255818954,42.0,12.447568572954182,23.0,75.75,4,2020-10-30,0.05
136490,선진,KOSPI,237796040000.0,373498830.0,37463.0,10000.0,CFS,370629945687.0,330043408201.0,27565848467.0,50824565555.0,0.46368894060641214,45.0,1.5586043640045477,107.0,0.8549270299875473,89.0,5.551705708825092,117.0,89.5,5,2020-10-30,0.05
023960,에쓰씨엔지니어링,KOSPI,35648636475.0,73664890.0,51726.0,1425.0,OFS,29812172161.0,53303971097.0,5823020933.0,17082433583.0,0.6533793725416254,26.0,0.8362780490049585,211.0,1.9167559011666238,16.0,5.981038981323338,108.0,90.25,6,2020-10-30,0.05
102260,동성코퍼레이션,KOSPI,176192013060.0,271559375.0,68334.0,4005.0,CFS,417017312130.0,210514284570.0,15380075252.0,34567137358.0,0.34916623029359467,69.0,2.3668343694330227,52.0,0.7847605974336326,106.0,4.779201529374932,151.0,94.5,7,2020-10-30,0.05
067570,엔브이에이치코리아,KOSDAQ,116147756125.0,4014525150.0,994951.0,3925.0,CFS,184777393759.0,260673824754.0,6578792667.0,23614890737.0,0.22656632849350278,157.0,1.5908821653010647,101.0,0.8132706657401213,99.0,8.97731763232546,49.0,101.5,8,2020-10-30,0.05
084690,대상홀딩스,KOSPI,346916114040.0,966405200.0,99400.0,9580.0,CFS,1319118310117.0,937842712195.0,53079546112.0,27757442835.0,0.6120159192822026,30.0,3.802412908282789,11.0,0.32004789298198494,342.0,10.813481118226353,34.0,104.25,9,2020-10-30,0.05
001940,KISCO홀딩스,KOSPI,214326008000.0,47175900.0,4063.0,11600.0,CFS,172066572039.0,293812388293.0,30969327098.0,73777131495.0,0.5779854229916884,32.0,0.8028263748513433,225.0,1.3769142099637297,40.0,5.483466818324727,124.0,105.25,10,2020-10-30,0.05
000490,대동공업,KOSPI,156606186000.0,990829450.0,148322.0,6600.0,CFS,87506392432.0,256890250881.0,18498709937.0,86903918278.0,0.4724898909676531,44.0,0.558767151330791,321.0,2.2196803459091967,12.0,6.561433042779038,91.0,117.0,11,2020-10-30,0.05
001530,DI동일,KOSPI,206124912400.0,232725200.0,2764.0,83600.0,CFS,541080641886.0,239865527733.0,17646263726.0,25729196584.0,0.34243825300953773,74.0,2.625013326074796,38.0,0.49929329326424493,201.0,4.654760551553787,156.0,117.25,12,2020-10-30,0.05
