,전략(비용전),전략(비용후),정적4자산25%
2016-02-29,2.612437163552898,2.5908667488977706,5.981407422081514
2016-03-31,2.6324708123888994,2.61073498356861,6.1188997489891115
2016-04-30,2.6396179975580276,2.6178231557402714,6.125758512069495
2016-05-31,2.6446507089724816,2.622814312979351,6.153615737161518
2016-06-30,2.6958652141294546,2.6736059493576962,6.369427250289676
2016-07-31,2.7282891648432557,2.705762181455558,6.534157103093974
2016-08-31,2.7220805930263965,2.699604872677816,6.5279425997977905
2016-09-30,2.7344251551339114,2.7118475079994506,6.537987474580381
2016-10-31,2.683513195453966,2.661355919035602,6.340413226639227
2016-11-30,2.6411901119216274,2.6193822894438266,6.156149846796899
2016-12-31,2.6578166603560143,2.635871555516357,6.246646050518382
2017-01-31,2.691419442114604,2.66785502848388,6.324351605921959
2017-02-28,2.721731716291874,2.6979019070280414,6.416332841454906
2017-03-31,2.7496812660922916,2.7256067477571104,6.4568035666295565
2017-04-30,2.775124467702738,2.750827184339759,6.542046668350306
2017-05-31,2.8328698962513803,2.80806702942478,6.701611113491294
2017-06-30,2.8585096745248824,2.833482321566101,6.78505512852928
2017-07-31,2.8796166313681737,2.8544044788743372,6.828918641406151
2017-08-31,2.8663679547932595,2.8412717995646526,6.84451338907304
2017-09-30,2.902140921272002,2.876731559946377,6.887450599271664
2017-10-31,2.959697786610078,2.933784492764352,6.992777376137195
2017-11-30,2.965656527823008,2.9396910629033637,7.042528251040469
2017-12-31,2.9826348385696244,2.956520722001365,7.10955551366695
2018-01-31,3.0147930597395165,2.9874490539692706,7.132238299300061
2018-02-28,2.921987244126133,2.8954849819539916,6.899427752419475
2018-03-31,2.9289995190110285,2.9024336558947703,6.9434241763420905
2018-04-30,2.9333439293500736,2.906738662673098,6.942170120817938
2018-05-31,2.9408536471480047,2.9141802677472928,6.963342094960587
2018-06-30,2.9303095508794623,2.9037318058468466,6.966279285599945
2018-07-31,2.9451106610878597,2.918398670806922,7.00760665459892
2018-08-31,2.9885848699858744,2.9614785710424814,7.177861192967332
2018-09-30,2.9753318855278166,2.9483457904180908,7.135939562555472
2018-10-31,2.823779559002423,2.79816803508511,6.7976925514001465
2018-11-30,2.869781709511454,2.843752948641542,6.949616836970642
2018-12-31,2.831616282632414,2.8059336800666124,6.8834149651581615
