Date,NAV_Gross,NAV_Net,Drawdown_Net,Turnover,Cost
2010-11-04,14037.49861948085,14033.544697440113,-0.00034483192341761004,0.0,0.0
2010-11-05,13953.114744826655,13949.18459107049,-0.0063540774939445654,0.0,0.0
2010-11-08,13985.675439232948,13981.736114152834,-0.0040353263174178755,0.0,0.0
2010-11-09,13789.133146100248,13785.249180805082,-0.018031731546128804,0.0,0.0
2010-11-10,13845.145917636628,13841.246175304686,-0.014042882958323566,0.0,0.0
2010-11-11,13820.052535458066,13816.159861142982,-0.015829862950934803,0.0,0.0
2010-11-12,13650.547870808792,13646.702940628738,-0.027900832190039915,0.0,0.0
2010-11-15,13494.22772549998,13490.426825790362,-0.03903288964332241,0.0,0.0
2010-11-16,13540.619271935942,13536.805305186183,-0.035729199263227485,0.0,0.0
2010-11-17,13494.304687493866,13490.503766106474,-0.03902740893361634,0.0,0.0
2010-11-18,13608.405356517645,13604.572296558963,-0.030901935402860237,0.0,0.0
2010-11-19,13645.066616586466,13641.223230303405,-0.02829116983205282,0.0,0.0
2010-11-22,13690.145522701085,13686.289439107393,-0.025080956767014273,0.0,0.0
2010-11-23,13669.583509679098,13665.733217758032,-0.02654524347084064,0.0,0.0
2010-11-24,13620.877479929597,13617.040906965858,-0.030013755609321735,0.0,0.0
2010-11-26,13654.626987624897,13650.78090848588,-0.02761034523670547,0.0,0.0
2010-11-29,13723.785659493367,13719.920100530742,-0.022685335046165878,0.0,0.0
2010-11-30,13741.597540180202,13737.72696417077,-0.02141689406074354,0.0,0.0
2010-12-01,13699.86337115173,13696.004550345646,-0.024388917701536394,0.0,0.0
2010-12-02,13738.559983061363,13734.690262636273,-0.02163320821716752,0.0,0.0
2010-12-03,13743.253848505774,13739.382805966357,-0.021298943048069008,0.0,0.0
2010-12-06,13836.386355436793,13832.489080398136,-0.014666679395318294,0.0,0.0
2010-12-07,13657.357958697921,13653.51111033021,-0.027415864053054517,0.0,0.0
2010-12-08,13595.587092049946,13591.757642593373,-0.03181476500792446,0.0,0.0
2010-12-09,13644.591887359375,13640.74863479261,-0.02832497681848012,0.0,0.0
2010-12-10,13617.505588638793,13613.669965430821,-0.030253878771319243,0.0,0.0
2010-12-13,13661.70672003973,13657.858646762668,-0.027106174850731968,0.0,0.0
2010-12-14,13564.574581954326,13560.753867746858,-0.034023265028653715,0.0,0.0
2010-12-15,13453.481985027322,13449.692562111803,-0.04193452412569909,0.0,0.0
2010-12-16,13514.583390171014,13510.776756910613,-0.037583297665461535,0.0,0.0
2010-12-17,13642.703884604975,13638.86116382923,-0.0284594275323814,0.0,0.0
2010-12-20,13663.358423064916,13659.509884555038,-0.0269885517962255,0.0,0.0
2010-12-21,13739.430156615364,13735.56019108974,-0.021571240375605538,0.0,0.0
2010-12-22,13711.340691556943,13707.478637950531,-0.02357158101144985,0.0,0.0
2010-12-23,13687.687575369777,13683.832184102572,-0.02525599505689835,0.0,0.0
2010-12-27,13745.915089759194,13742.04329763178,-0.021109427547865378,0.0,0.0
2010-12-28,13654.76448729819,13650.918369429835,-0.027600553445251697,0.0,0.0
2010-12-29,13773.957947027853,13770.078256109178,-0.01911240600177988,0.0,0.0
2010-12-30,13741.195215235113,13737.324752547967,-0.02144554490670325,0.0,0.0
2010-12-31,13844.732876222488,13840.833250231328,-0.014072296958315023,0.0,0.0
2011-01-03,13839.467144150114,13835.33581493941,-0.01446389720751906,0.016854125095968647,0.23318641072266114
2011-01-04,13810.252279634016,13806.129671584458,-0.01654434607299271,0.0,0.0
2011-01-05,13695.340686185922,13691.252381308424,-0.02472743020426127,0.0,0.0
2011-01-06,13703.592080098342,13699.50131203174,-0.024139831959737013,0.0,0.0
2011-01-07,13732.586997718765,13728.487574149109,-0.022075045952098082,0.0,0.0
2011-01-10,13780.161658274008,13776.048032814728,-0.018687159332842818,0.0,0.0
2011-01-11,13773.406170500484,13769.294561675493,-0.019168231112806078,0.0,0.0
2011-01-12,13773.218844075043,13769.10729117035,-0.019181571001788522,0.0,0.0
2011-01-13,13816.827393783497,13812.702822944417,-0.016076119059134197,0.0,0.0
2011-01-14,13801.129416730362,13797.009532019041,-0.017194003365338162,0.0,0.0
2011-01-18,13782.173479731708,13778.059253707634,-0.018543893507772635,0.0,0.0
2011-01-19,13786.165190648939,13782.049773027547,-0.018259635799013685,0.0,0.0
2011-01-20,13659.684032931673,13655.606372204824,-0.02726661171470457,0.0,0.0
2011-01-21,13727.93840102742,13723.840365147269,-0.02240608180910919,0.0,0.0
2011-01-24,13740.343411861872,13736.24167286345,-0.02152269620578051,0.0,0.0
2011-01-25,13789.537979881517,13785.421555422034,-0.018019452739854502,0.0,0.0
2011-01-26,13741.112390870674,13737.010422318224,-0.021467935674354566,0.0,0.0
2011-01-27,13750.337205461985,13746.232483136893,-0.02081101819865938,0.0,0.0
2011-01-28,13744.949292008954,13740.846178072683,-0.021194702279222155,0.0,0.0
2011-01-31,13740.050667830074,13735.949016220997,-0.02154354309310713,0.0,0.0
2011-02-01,13785.802591300251,13781.687281921268,-0.018285457223007895,0.0,0.0
2011-02-02,13781.794204192523,13777.680091388998,-0.018570902476606643,0.0,0.0
2011-02-03,13740.905350614192,13736.803443866971,-0.021482679424628448,0.0,0.0
2011-02-04,13676.13140620491,13672.048835642083,-0.02609536140657931,0.0,0.0
2011-02-07,13726.542301044878,13722.444681925614,-0.022505500877890938,0.0,0.0
2011-02-08,13701.479078075623,13697.388940778028,-0.02429030305497326,0.0,0.0
2011-02-09,13753.763339514599,13749.65759442703,-0.020567036348297152,0.0,0.0
2011-02-10,13679.4362314428,13675.352674330356,-0.025860018199255097,0.0,0.0
2011-02-11,13782.391782825269,13778.277491633804,-0.01852834770837064,0.0,0.0
2011-02-14,13807.070717998715,13802.949059702381,-0.016770911432929414,0.0,0.0
2011-02-15,13815.597441782416,13811.473238106073,-0.01616370639823772,0.0,0.0
2011-02-16,13831.767480276514,13827.638449553604,-0.01501220565377337,0.0,0.0
2011-02-17,13871.173793586107,13867.032999371759,-0.012206003359997109,0.0,0.0
2011-02-18,13864.883542885535,13860.744626423862,-0.01265394467857961,0.0,0.0
