,성장형,중립형,안정형
2020-01-31,58683727.42389174,50071973.81847735,40213733.54134873
2020-02-29,59048733.19122207,50367453.75975701,40402993.32799688
2020-03-31,56234770.71129573,48387519.42864908,39211687.1760111
2020-04-30,59081354.7075685,50430946.277162984,40460950.81655055
2020-05-31,61061676.616147436,51864165.74981986,41338431.41101935
2020-06-30,61203708.43228014,51966794.467029676,41408536.79039562
2020-07-31,65019797.79601305,54718733.108553365,43082413.97356239
2020-08-31,65850371.2430453,55304356.80075989,43443979.6073635
2020-09-30,63471070.68338959,53596234.73445025,42414045.46018524
2020-10-31,61580558.224182054,52234679.88082799,41594107.70455656
2020-11-30,62707194.10716991,53030198.49915381,42080893.10796799
2020-12-31,64366895.26388596,54217417.50056508,42805761.20871956
2021-01-31,65338279.688541725,54903971.31311892,43217144.02351974
2021-02-28,64896919.54230854,54577867.73931523,43030346.02167581
2021-03-31,64404957.97252916,54217702.52359864,42824926.429437846
2021-04-30,65688424.01422614,55131056.54673542,43371396.49459688
2021-05-31,67293692.966046,56264393.267408036,44050423.085723095
2021-06-30,67968114.35800391,56752188.70188084,44345013.91587606
2021-07-31,70129785.81467167,58299266.36642714,45268759.71953925
2021-08-31,71724380.09994525,59418702.58966057,45940688.68348711
2021-09-30,70678497.33038917,58672226.07316774,45506564.861036554
2021-10-31,70720067.00382274,58701619.62893663,45532639.15682751
2021-11-30,72125631.36265501,59717583.08951876,46143273.24082271
2021-12-31,73362893.95031911,60588523.448921666,46669600.45046621
2022-01-31,70595755.87483406,58675699.77494857,45578974.936010905
2022-02-28,70287159.37631452,58471622.10132004,45472258.54015516
2022-03-31,70988806.10166487,58948715.251645125,45764283.18263872
2022-04-30,68892870.02955256,57491490.42448222,44937847.71790088
2022-05-31,66978395.46136469,56180353.465807386,44195269.7990147
2022-06-30,66156195.17256816,55623611.60291945,43890008.43275531
2022-07-31,68390447.90989846,57192466.848945856,44818158.05653143
2022-08-31,67763193.35644624,56754581.319205314,44590664.57376152
2022-09-30,66179988.99305545,55673007.62248532,43994251.42116992
2022-10-31,66143350.52009647,55651168.8201211,44012706.35217756
2022-11-30,65981829.61560941,55582290.10569781,44006726.25416948
2022-12-31,63141617.90980734,53652111.53634284,42929689.17417084
2023-01-31,65875627.2715957,55649326.88532132,44161649.98034665
2023-02-28,66834645.08529901,56344087.513122834,44610274.98091184
2023-03-31,68813330.35961425,57796304.51543337,45513066.21432536
2023-04-30,70758966.88413726,59204362.88127531,46390964.46110837
2023-05-31,69500819.42112678,58316455.35245422,45890723.74095248
2023-06-30,69926668.76504967,58634629.666030236,46114674.31702729
2023-07-31,69467260.31189317,58326103.82007787,45962927.693310015
2023-08-31,70130142.17853746,58823632.810595475,46296915.52178535
2023-09-30,68787051.38777721,57880613.12676197,45764765.548167996
2023-10-31,67296480.4403183,56839793.46314004,45175224.36932359
2023-11-30,69779456.97675553,58653859.26306345,46297440.171775796
2023-12-31,73599462.6943214,61423944.523633644,47996611.72440585
2024-01-31,74064173.70292634,61766797.939466216,48237800.19561297
2024-02-29,74950585.54692446,62403844.06967132,48645040.17340351
2024-03-31,79179157.39239138,65400355.549937785,50437977.38584883
2024-04-30,79294698.93575141,65497393.461593874,50531174.052610725
2024-05-31,80096376.89608768,66090749.90947686,50915302.81802872
2024-06-30,82327612.79162169,67684987.62396455,51886502.870246544
2024-07-31,83904283.2568865,68830217.48215076,52595220.8606213
2024-08-31,83366447.86815764,68487212.99648356,52430907.21303154
2024-09-30,85036180.39927888,69685997.94523647,53166620.58037984
2024-10-31,88768554.16742346,72327295.63950197,54750268.0282475
2024-11-30,89581922.34966707,72933726.33435787,55140403.946884416
2024-12-31,92162313.48458233,74753434.00605147,56240194.84567651
2025-01-31,92888269.59896472,75292796.73334847,56588330.773948
2025-02-28,94221387.68017326,76261278.85539751,57171135.50110245
2025-03-31,94778933.29644708,76638537.59963547,57382894.16975021
2025-04-30,94114373.53970361,76225347.62426852,57196121.90603399
2025-05-31,92942112.49476677,75430719.33729592,56780272.150754824
2025-06-30,94106059.93041022,76239164.36858639,57268202.1562545
2025-07-31,97456099.32143134,78554115.36226414,58610330.879026294
2025-08-31,99002565.09736693,79630545.21598047,59246232.42845611
2025-09-30,107194731.65279593,85245221.16540343,62444713.803272836
2025-10-31,110435979.45487414,87461695.02492145,63724994.84306092
2025-11-30,111993178.62226452,88539521.96305813,64365440.954002686
2025-12-31,113343105.17118677,89492362.68091087,64944023.62119738
2026-01-31,119246529.90065727,93434542.7072688,67124033.37481424
2026-02-28,121530813.74123421,94989587.46893314,68003382.49383771
2026-03-31,115319151.46285352,90906785.85529742,65824228.638176456
2026-04-30,120203557.51403672,94166948.96836293,67653693.8914243
2026-05-31,127637148.22806606,99092636.1949333,70352633.28307754
2026-06-30,127427942.8417071,98976643.62936494,70331875.09684119
2026-07-31,115133122.08206794,90864902.21856003,65978112.724582404
2026-08-31,114313900.48699439,90365409.73548995,65755125.52584721
