,성장형,중립형,안정형
2019-02-28,67537259.29310572,61759633.167904966,54882065.42988375
2019-03-31,69410216.23819098,63225389.4046057,55894100.68000154
2019-04-30,71516799.42358881,64865546.97260416,57020904.694285765
2019-05-31,78073748.83672245,70812682.66075861,62248811.851554684
2019-06-30,76437486.59982039,69328597.16136949,60944207.145845816
2019-07-31,78502675.24401419,71201717.77200823,62590798.237804756
2019-08-31,89283037.14286113,80979477.3581102,71186065.27098393
2019-09-30,85780665.18619567,77802835.3033529,68393596.66004819
2019-10-31,82928237.13559571,75215690.64372852,66119333.41936238
2019-11-30,83209798.84963778,75430777.04662855,66281355.8143924
2019-12-31,84044447.13995361,76074802.01509534,66724754.690200806
2020-01-31,86629375.66096233,78077430.58234206,68068284.5419715
2020-02-29,87019604.04530478,78424750.13903207,68314358.2629546
2020-03-31,82644750.98771067,75163200.51077028,66179114.81256243
2020-04-30,86953659.25189343,78435884.91340469,68354503.93581837
2020-05-31,87738889.0358217,79144195.4490701,68971775.16761969
2020-06-30,85463578.01043132,77091768.49814986,67183147.0894187
2020-07-31,88672620.78673223,79986461.05105297,69705784.19256158
2020-08-31,83830618.38503946,75618769.72676483,65899473.163545944
2020-09-30,82948690.0144645,74823232.96877867,65206186.91433886
2020-10-31,77942629.90580265,70307554.64160077,61270909.683403715
2020-11-30,79736709.33066285,71644791.33240335,62152511.14936319
2020-12-31,81915109.68128164,73284196.01184085,63232425.63581987
2021-01-31,83250922.57678095,74294924.24959859,63899731.383755006
2021-02-28,82947253.61468506,74046192.54128234,63746384.0965262
2021-03-31,82519270.95319428,73705873.78201163,63535358.865722895
2021-04-30,84150220.47812,74948119.88461468,64355117.788744725
2021-05-31,84069039.95416349,74875816.71526802,64293033.79001377
2021-06-30,89039685.04532377,79302905.58181491,68094407.67246057
2021-07-31,94100522.04308817,83810323.57632346,71964757.14095005
2021-08-31,94306352.08331314,83993645.43148898,72122168.68910618
2021-09-30,93571143.68877314,83338834.46865274,71559907.2647027
2021-10-31,95168148.65709144,84761201.74400607,72781240.28393176
2021-11-30,97236563.95104527,86343817.73550248,73816072.26627216
2021-12-31,98639228.23625705,87388730.16271749,74506577.96843036
2022-01-31,94866512.54835089,84575833.75213563,72717668.86080669
2022-02-28,94449398.19953153,84277679.86530489,72543123.91912834
2022-03-31,95440441.73087588,85004359.04240644,73036759.24532725
2022-04-30,92594690.47045928,82870212.3066441,71686482.51879326
2022-05-31,89143279.50683291,79781275.37235577,69014412.3336447
2022-06-30,92419786.22283842,82713676.85023691,71551072.2676673
2022-07-31,94676026.15999103,84732961.9912809,73297845.26286937
2022-08-31,93118531.42919564,83339038.44823854,72092038.33997786
2022-09-30,91387188.22908509,81789524.34716165,70751638.54579794
2022-10-31,85512085.95088917,76531436.97040573,66203155.10012587
2022-11-30,85923066.25681466,76900324.59781049,66489325.73575468
2022-12-31,82363792.93331225,74271820.90736324,64837755.15283716
2023-01-31,86088290.57616346,77138673.28998065,66749699.52787884
2023-02-28,87064187.97063695,77887052.26371527,67284254.73560531
2023-03-31,89778914.78531028,79985820.56401397,68694509.59149
2023-04-30,92166376.88894273,81809464.41537482,69928444.23939213
2023-05-31,88461602.48730543,78521002.6160904,67117558.98048052
2023-06-30,88201894.72830702,78290478.71588568,66920513.591948636
2023-07-31,83091003.06372482,73753907.74631949,63042779.48929468
2023-08-31,83549453.12870777,74160840.89855398,63390614.577185094
2023-09-30,79213434.09349534,70312068.63539957,60100791.59010865
2023-10-31,74695666.87620552,66301971.58183773,56673072.67997422
2023-11-30,77573982.35854048,68501919.4298117,58126508.96725047
2023-12-31,81953518.72454357,71824414.1978912,60303458.154633865
2024-01-31,82390171.99864367,72166064.21792571,60570510.127325445
2024-02-29,83291906.17520608,72853528.06660606,61051480.444188334
2024-03-31,87857980.85203966,76293365.12200367,63300384.60845347
2024-04-30,87764713.88710721,76238780.81116176,63308776.02673029
2024-05-31,88984903.40772416,77298725.7171527,64188955.56187089
2024-06-30,91999991.02023225,79917848.97792163,66363878.693356015
2024-07-31,92884192.12279151,80685930.03311329,67001694.132901765
2024-08-31,93927532.85048783,81592251.28145137,67754304.39645548
2024-09-30,92981446.1002847,80770411.87490058,67071847.956757955
2024-10-31,92645457.68222705,80478548.02410132,66829483.861163124
2024-11-30,93742093.33068255,81326962.99546164,67404884.8941849
2024-12-31,95999987.71410596,82990177.0056409,68485956.43978986
2025-01-31,96690413.06706533,83542635.6463535,68882432.44982238
2025-02-28,97992133.96839035,84558559.01195693,69558514.11236486
2025-03-31,98451547.26113294,84891332.34372193,69764485.7422622
2025-04-30,97682258.56119215,84373432.33725905,69497451.80971767
2025-05-31,91125426.5629958,78709943.09064183,64832499.10969787
2025-06-30,90542699.33249296,78206610.16941223,64417909.41637386
2025-07-31,93094970.60498683,80411144.44910634,66233759.6268228
